Date,^AXJO,^BSESN,^GSPC,^HSI,^JKSE,^KLSE,^KS11,^N225,^NSEI,^NZ50,^STI,^TWII
2018-01-18,6014.60009765625,35260.2890625,2798.030029296875,32121.939453125,6472.666015625,1821.5999755859375,2515.81005859375,23763.369140625,10817.0,8272.669921875,3521.31005859375,11071.5703125
2018-01-19,6005.7998046875,35511.578125,2810.300048828125,32254.890625,6490.89599609375,1828.8299560546875,2520.260009765625,23808.060546875,10894.7001953125,8289.9599609375,3550.360107421875,11150.849609375
2018-01-22,5991.89990234375,35798.01171875,2832.969970703125,32393.41015625,6500.52880859375,1833.1500244140625,2502.110107421875,23816.330078125,10966.2001953125,8335.3603515625,3569.429931640625,11231.4599609375
2018-01-23,6037.0,36139.98046875,2839.1298828125,32930.69921875,6635.333984375,1838.0400390625,2536.60009765625,24124.150390625,11083.7001953125,8307.6298828125,3592.080078125,11253.1103515625
2018-01-24,6054.7001953125,36161.640625,2837.5400390625,32958.69140625,6615.4921875,1837.0400390625,2538.0,23940.779296875,11086.0,8324.08984375,3609.239990234375,11152.16015625
2018-01-25,6050.0,36050.44140625,2839.25,32654.44921875,6615.328125,1845.8599853515625,2562.22998046875,23669.490234375,11069.650390625,8369.7802734375,3572.6201171875,11165.9501953125
2018-01-26,,,2872.8701171875,33154.12109375,6660.6181640625,1853.9200439453125,2574.760009765625,23631.880859375,,8311.419921875,3567.139892578125,11147.099609375
2018-01-29,6075.39990234375,36283.25,2853.530029296875,32966.890625,6680.619140625,1870.52001953125,2598.18994140625,23629.33984375,11130.400390625,8327.58984375,3577.070068359375,11221.8095703125
2018-01-30,6022.7998046875,36033.73046875,2822.429931640625,32607.2890625,6575.4921875,1868.5799560546875,2567.739990234375,23291.970703125,11049.650390625,8298.580078125,3548.739990234375,11076.7802734375
2018-01-31,6037.7001953125,35965.01953125,2823.81005859375,32887.26953125,6605.630859375,,2566.4599609375,23098.2890625,11027.7001953125,8442.009765625,3533.989990234375,11103.7900390625
2018-02-01,6090.10009765625,35906.66015625,2821.97998046875,32642.08984375,6598.458984375,,2568.5400390625,23486.109375,11016.900390625,8383.8701171875,3547.22998046875,11160.25
2018-02-02,6121.39990234375,35066.75,2762.1298828125,32601.779296875,6628.81982421875,1870.47998046875,2525.389892578125,23274.529296875,10760.599609375,8415.2900390625,3529.820068359375,11126.23046875
2018-02-05,6026.2001953125,34757.16015625,2648.93994140625,32245.220703125,6589.6748046875,1853.0699462890625,2491.75,22682.080078125,10666.5498046875,8241.830078125,3482.929931640625,10946.25
2018-02-06,5833.2998046875,34195.94140625,2695.139892578125,30595.419921875,6478.54296875,1812.449951171875,2453.31005859375,21610.240234375,10498.25,,3406.3798828125,10404.0
